ID,title,score,director,release,genre,subgenre,platform
433,I'm Thinking of Ending Things,71,Charlie Kaufman,2020,,,Netflix
434,Shutter,71,"Banjong Pisanthanakun, Parkpoom Wongpoom",2004,,,Netflix
435,Shutter,71,V. K. Prakash,2017,,,Amazon Prime
436,Surf's Up,71,"Ash Brannon, Chris Buck",2007,,,Netflix
437,Jagga Jasoos,71,Anurag Basu,2017,,,Netflix
438,The Burial of Kojo,71,"Sam ""Blitz"" Bazawule",2018,,,Netflix
439,My Best Friend's Wedding,71,,1997,,,Hulu
440,Bee Movie,71,"Steve Hickner, Simon J. Smith",2007,,,Netflix
441,Seoul Searching,71,Benson Lee,2015,,,Netflix
442,Before I Fall,71,Ry Russo-Young,2017,,,Netflix
443,The Babysitter,71,McG,2017,,,Netflix
444,After,71,Jenny Gage,2019,,,Netflix
445,"As Above, So Below",71,John Erick Dowdle,2014,,,Netflix
446,Stree,71,Amar Kaushik,2018,,,Netflix
447,Stree,71,Amar Kaushik,2018,,,Amazon Prime
448,Velvet Buzzsaw,71,Dan Gilroy,2019,,,Netflix
449,Savages,71,Oliver Stone,2012,,,Netflix
450,Jupiter Ascending,71,"Lana Wachowski, Lilly Wachowski",2015,,,Netflix
451,Spectral,71,Nic Mathieu,2016,,,Netflix
452,Resident Evil: Afterlife,71,Paul W.S. Anderson,2010,,,Netflix
453,Accepted,71,Steve Pink,2006,,,Netflix
454,"Live Twice, Love Once",71,Maria Ripoll,2020,,,Netflix
455,Iliza Shlesinger: Elder Millennial,71,Steve Paley,2018,,,Netflix
456,Zindagi Na Milegi Dobara,71,Zoya Akhtar,2011,,,Netflix
457,Free Fire,71,Ben Wheatley,2016,,,Netflix
458,Soorma,71,Shaad Ali,2018,,,Netflix
459,The Zookeeper's Wife,71,Niki Caro,2017,,,Netflix
460,Time Share,71,Sebastián Hofmann,2018,,,Netflix
461,The Outpost,71,Rod Lurie,2020,,,Netflix
462,Kabir Singh,71,Sandeep Reddy Vanga,2019,,,Netflix
463,Ip Man 4: The Finale,71,Wilson Yip,2019,,,Netflix
464,The Laundromat,71,Steven Soderbergh,2019,,,Netflix
465,The 12th Man,71,Harald Zwart,2018,,,Netflix
466,The 12th Man,71,,2018,,,Hulu
467,Bad Trip,71,,2021,,,Netflix
468,Mr. Peabody & Sherman,71,Rob Minkoff,2014,,,Netflix
469,Ip Man 3,71,Wilson Yip,2015,,,Netflix
470,Rang De Basanti,71,Rakeysh Omprakash Mehra,2006,,,Netflix
471,The Midnight Sky,71,George Clooney,2020,,,Netflix
472,White Christmas,71,Michael Curtiz,1954,,,Netflix
473,Synchronic,71,"Justin Benson, Aaron Moorhead",2020,,,Netflix
474,Adrift,70,Baltasar Kormákur,2018,,,Netflix
475,The Game Changers,70,Louie Psihoyos,2018,,,Netflix
476,Michelle Wolf: Joke Show,70,Lance Bangs,2019,,,Netflix
477,Da 5 Bloods,70,Spike Lee,2020,,,Netflix
478,The American,70,Anton Corbijn,2010,,,Netflix
479,The American,70,Paul Unwin,1998,,,Amazon Prime
480,The Best of Enemies,70,Robin Bissell,2019,,,Netflix
481,Forgotten,70,Hang-Jun Jang,2017,,,Netflix
482,I Don't Feel at Home in This World Anymore,70,Macon Blair,2017,,,Netflix
483,Never Back Down,70,Jeff Wadlow,2008,,,Netflix
484,"Faith, Hope & Love",70,Robert Krantz,2019,,,Netflix
485,2 States,70,Abhishek Varman,2014,,,Netflix
486,May the Devil Take You,70,Timo Tjahjanto,2018,,,Netflix
487,Double Jeopardy,70,Bruce Beresford,1999,,,Netflix
488,Ava,70,Tate Taylor,2020,,,Netflix
489,Barfi!,70,Anurag Basu,2012,,,Netflix
490,Barry,70,Vikram Gandhi,2016,,,Netflix
491,Parker,70,Taylor Hackford,2013,,,Netflix
492,The Karate Kid Part II,70,John G. Avildsen,1986,,,Netflix
493,System Crasher,70,Nora Fingscheidt,2020,,,Netflix
494,Under Siege,70,Andrew Davis,1992,,,Netflix
495,Brain on Fire,70,Gerard Barrett,2016,,,Netflix
496,The Butterfly's Dream,70,Yılmaz Erdoğan,2013,,,Netflix
497,The Wrong Missy,70,Tyler Spindel,2020,,,Netflix
498,Battle: Los Angeles,70,Jonathan Liebesman,2011,,,Netflix
499,Pari,70,Syed Atif Ali,2018,,,Netflix
500,Pari,70,Prosit Roy,2018,,,Amazon Prime
501,The Beguiled,70,Sofia Coppola,2017,,,Netflix
502,Batman: The Killing Joke,70,Sam Liu,2016,,,Netflix
503,Sex Drive,70,Sean Anders,2008,,,Netflix
504,Mosul,70,Matthew Michael Carnahan,2020,,,Netflix
505,Underdogs,70,Juan José Campanella,2013,,,Netflix
506,Underdogs,70,Doug Dearth,2013,,,Amazon Prime
507,Hasan Minhaj: Homecoming King,70,Christopher Storer,2017,,,Netflix
508,An Easy Girl,70,Rebecca Zlotowski,2019,,,Netflix
509,Highway,70,Imtiaz Ali,2014,,,Netflix
510,Highway,70,Coke Daniels,2013,,,Amazon Prime
511,The Book of Henry,70,Colin Trevorrow,2017,,,Netflix
512,Reversing Roe,70,,2018,,,Netflix
513,The Clovehitch Killer,70,Duncan Skiles,2018,,,Netflix
514,The Clovehitch Killer,70,,2018,,,Hulu
515,There's Something in the Water,70,"Ellen Page, Ian Daniel",2019,,,Netflix
516,Stuart Little,70,Rob Minkoff,1999,,,Netflix
517,Stuart Little,70,Rob Minkoff,1999,,,Amazon Prime
518,Barakah Meets Barakah,70,Mahmoud Sabbagh,2016,,,Netflix
519,Starsky & Hutch,70,Todd Phillips,2004,,,Netflix
520,Loving,70,Jeff Nichols,2016,,,Netflix
521,Loving,70,Diarmuid Lawrence,1996,,,Amazon Prime
522,Haider,70,Vishal Bhardwaj,2014,,,Netflix
523,The Twilight Saga: Eclipse,70,David Slade,2010,,,Netflix
524,Triple 9,70,John Hillcoat,2016,,,Netflix
525,The Spiderwick Chronicles,70,Mark Waters,2008,,,Netflix
526,Kahaani,69,Sujoy Ghosh,2012,,,Netflix
527,Lady J,69,Emmanuel Mouret,2019,,,Netflix
528,The Interpreter,69,Sydney Pollack,2005,,,Netflix
529,Not Another Teen Movie,69,Joel Gallen,2001,,,Netflix
530,The Cloverfield Paradox,69,Julius Onah,2018,,,Netflix
531,Disclosure,69,,2020,,,Netflix
532,Hot Girls Wanted,69,"Jill Bauer, Ronna Gradus",2015,,,Netflix
533,Dead Man Down,69,Niels Arden Oplev,2013,,,Netflix
534,Kill the Irishman,69,Jonathan Hensleigh,2011,,,Netflix
535,Set It Up,69,Claire Scanlon,2018,,,Netflix
536,Case 39,69,Christian Alvart,2009,,,Netflix
537,Outside the Wire,69,Mikael Håfström,2021,,,Netflix
538,Steal a Pencil for Me,69,Michèle Ohayon,2006,,,Netflix
539,Project Power,69,"Henry Joost, Ariel Schulman",2020,,,Netflix
540,High Strung Free Dance,69,Michael Damian,2019,,,Netflix
541,Marc Maron: Too Real,69,Lynn Shelton,2017,,,Netflix
542,The Polka King,69,Maya Forbes,2018,,,Netflix
543,6 Balloons,69,Marja Lewis Ryan,2018,,,Netflix
544,Amanda Knox,69,"Rod Blackhurst, Brian McGinn",2016,,,Netflix
545,At Eternity's Gate,69,Julian Schnabel,2018,,,Netflix
546,Anon,69,Andrew Niccol,2018,,,Netflix
547,3 Days to Kill,69,McG,2014,,,Netflix
548,To the Bone,69,Marti Noxon,2017,,,Netflix
549,Trollhunters: Rise of the Titans,69,"Johane Matte, Andrew L. Schmidt, Francisco Ruiz Velasco",2021,,,Netflix
550,Mowgli: Legend of the Jungle,69,Andy Serkis,2018,,,Netflix
551,Mother's Day,69,Garry Marshall,2016,,,Netflix
552,Mother's Day,69,Darren Lynn Bousman,2012,,,Amazon Prime
553,Mortal Kombat,69,Paul W.S. Anderson,1995,,,Netflix
554,Creep,69,Patrick Brice,2014,,,Netflix
555,Death to 2020,69,"Al Campbell, Alice Mathias",2020,,,Netflix
556,Operation Finale,69,Chris Weitz,2018,,,Netflix
557,The Great Hack,69,"Karim Amer, Jehane Noujaim",2019,,,Netflix
558,The Land of Steady Habits,69,Nicole Holofcener,2018,,,Netflix
559,Suffragette,69,Sarah Gavron,2015,,,Netflix
560,Wildlife,69,Paul Dano,2018,,,Netflix
561,War Machine,69,David Michôd,2017,,,Netflix
562,Bending the Arc,69,"Kief Davidson, Pedro Kos",2017,,,Netflix
563,Kill the Messenger,69,Michael Cuesta,2014,,,Netflix
564,Feminists: What Were They Thinking?,69,Johanna Demetrakas,2018,,,Netflix
565,If Anything Happens I Love You,69,"Will McCormack, Michael Govier",2020,,,Netflix
566,Nobody Speak: Trials of the Free Press,69,Brian Knappenberger,2017,,,Netflix
567,Sand Castle,69,Fernando Coimbra,2017,,,Netflix
568,The Forest of Love,69,Sion Sono,2019,,,Netflix
569,Kabhi Alvida Naa Kehna,69,Karan Johar,2006,,,Netflix
570,Kabhi Alvida Naa Kehna,69,Karan Johar,2006,,,Amazon Prime
571,Fatherhood,69,Paul Weitz,2021,,,Netflix
572,Our Idiot Brother,69,Jesse Peretz,2011,,,Netflix
573,Quién te cantará,68,Carlos Vermut,2018,,,Netflix
574,Takers,68,John Luessenhop,2010,,,Netflix
575,Udaan,68,Vikramaditya Motwane,2010,,,Netflix
576,Udaan,68,Sudha Kongara,2021,,,Amazon Prime
577,City of Joy,68,Madeleine Gavin,2018,,,Netflix
578,Under the Shadow,68,Babak Anvari,2016,,,Netflix
579,The Silence of Others,68,"Almudena Carracedo, Robert Bahar",2019,,,Netflix
580,Nacho Libre,68,Jared Hess,2006,,,Netflix
581,Nacho Libre,68,Jared Hess,2006,,,Amazon Prime
582,Ninja Assassin,68,James McTeigue,2009,,,Netflix
583,The Twilight Saga: New Moon,68,Chris Weitz,2009,,,Netflix
584,Rocks,68,Sarah Gavron,2019,,,Netflix
585,Step Up Revolution,68,,2012,,,Hulu
586,Giving Voice,68,"James D. Stern, Fernando Villena",2020,,,Netflix
587,Like Father,68,Lauren Miller Rogen,2018,,,Netflix
588,Berserk: The Golden Age Arc III - The Advent,68,Toshiyuki Kubooka,2013,,,Netflix
589,The Promise,68,Mohamed Yassin,2008,,,Netflix
590,Prospect,68,"Zeek Earl, Christopher Caldwell",2018,,,Netflix
591,Ne Zha,68,Yu Yang,2019,,,Netflix
592,Bad Genius,68,Nattawut Poonpiriya,2017,,,Netflix
593,Burning Sands,68,Gerard McMurray,2017,,,Netflix
594,Ludo,68,Anurag Basu,2020,,,Netflix
595,Eat Pray Love,68,Ryan Murphy,2010,,,Netflix
596,Circle,68,"Aaron Hann, Mario Miscione",2015,,,Netflix
597,Circle,68,Bekir Kulozu,2020,,,Amazon Prime
598,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,68,Martin Scorsese,2019,,,Netflix
599,Dovlatov,68,Aleksey German,2018,,,Netflix
600,Lakshya,68,Farhan Akhtar,2004,,,Netflix
601,American Murder: The Family Next Door,68,Jenny Popplewell,2020,,,Netflix
602,Jab We Met,68,Imtiaz Ali,2007,,,Netflix
603,John Mulaney: The Comeback Kid,68,Rhys Thomas,2015,,,Netflix
604,Apostle,68,Gareth Evans,2018,,,Netflix
605,After We Collided,68,Roger Kumble,2020,,,Netflix
606,Mystic Pizza,68,Donald Petrie,1988,,,Netflix
607,Middle Men,68,George Gallo,2009,,,Netflix
608,To All the Boys: P.S. I Still Love You,68,Michael Fimognari,2020,,,Netflix
609,Malang,68,Mohit Suri,2020,,,Netflix
610,Someone Great,68,Jennifer Kaytin Robinson,2019,,,Netflix
611,Time Trap,68,"Mark Dennis, Ben Foster",2017,,,Netflix
612,In This Corner of the World,68,Sunao Katabuchi,2016,,,Netflix
613,Agneepath,68,Mukul Anand,1990,,,Netflix
614,Agneepath,68,Mukul Anand,1990,,,Amazon Prime
615,The Package,67,Jake Szymanski,2018,,,Netflix
616,Rurouni Kenshin: The Final,67,Keishi Otomo,2021,,,Netflix
617,Bill Burr: I'm Sorry You Feel That Way,67,Jay Karas,2014,,,Netflix
618,Berserk: The Golden Age Arc I - The Egg of the King,67,Toshiyuki Kubooka,2012,,,Netflix
619,Streets of Fire,67,Walter Hill,1984,,,Netflix
620,Sleepless,67,Baran bo Odar,2017,,,Netflix
621,An Egyptian Story,67,Youssef Chahine,1982,,,Netflix
622,Major Grom: Plague Doctor,67,Oleg Trofim,2021,,,Netflix
623,Struggle: The Life and Lost Art of Szukalski,67,Irek Dobrowolski,2018,,,Netflix
624,Seaspiracy,67,Ali Tabrizi,2021,,,Netflix
625,Wish I Was Here,67,Zach Braff,2014,,,Netflix
626,Moxie,67,Amy Poehler,2021,,,Netflix
627,18 Presents,67,Francesco Amato,2020,,,Netflix
628,Oxygen,67,Alexandre Aja,2021,,,Netflix
629,Private Life,67,Tamara Jenkins,2018,,,Netflix
630,The Grandmaster,67,Wong Kar Wai,2013,,,Netflix
631,Home Again,67,Hallie Meyers-Shyer,2017,,,Netflix
632,Athlete A,67,"Bonni Cohen, Jon Shenk",2020,,,Netflix
633,The Outsider,67,Martin Zandvliet,2018,,,Netflix
634,The Outsider,67,Timothy Woodward Jr.,2019,,,Amazon Prime
635,The Whole Truth,67,Courtney Hunt,2016,,,Netflix
636,Ibiza,67,Alex Richanbach,2018,,,Netflix
637,Sabotage,67,David Ayer,2014,,,Netflix
638,Penguin Bloom,67,Glendyn Ivin,2021,,,Netflix
639,The Kissing Booth 2,67,Vince Marcello,2020,,,Netflix
640,Kingsglaive: Final Fantasy XV,67,Takeshi Nozue,2016,,,Netflix
641,Mirai,67,Mamoru Hosoda,2018,,,Netflix
642,World Trade Center,67,Oliver Stone,2006,,,Netflix
643,World Trade Center,67,Oliver Stone,2006,,,Amazon Prime
644,A Private War,67,Matthew Heineman,2018,,,Netflix
645,Get on Up,67,Tate Taylor,2014,,,Netflix
646,The Possession,67,,2012,,,Hulu
647,The Angry Birds Movie 2,67,"Thurop Van Orman, John Rice",2019,,,Netflix
648,Stowaway,67,Joe Penna,2021,,,Netflix
649,Four Christmases,67,Seth Gordon,2008,,,Netflix
650,Bombay Talkies,67,"Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar",2013,,,Netflix
651,Vampire Academy,67,Mark Waters,2014,,,Netflix
652,Brick Mansions,67,Camille Delamarre,2014,,,Netflix
653,Kingdom: Ashin of the North,67,Kim Seong-hun,2021,,,Netflix
654,Andaz Apna Apna,67,Rajkumar Santoshi,1994,,,Netflix
655,Blue Miracle,67,Julio Quintana,2021,,,Netflix
656,Holding the Man,67,Neil Armfield,2015,,,Netflix
657,Small Town Crime,67,"Eshom Nelms, Ian Nelms",2017,,,Netflix
658,Ek Ladki Ko Dekha Toh Aisa Laga,67,Shelly Chopra Dhar,2019,,,Netflix
659,First They Killed My Father,67,Angelina Jolie,2017,,,Netflix
660,Rising Phoenix,67,,2020,,,Netflix
661,The Wolf's Call,67,Antonin Baudry,2019,,,Netflix
662,Paan Singh Tomar,67,Tigmanshu Dhulia,2010,,,Netflix
663,John Mulaney & The Sack Lunch Bunch,67,Rhys Thomas,2019,,,Netflix
664,Seventh Son,67,Sergei Bodrov,2014,,,Netflix
665,The Death of Mr. Lazarescu,67,Cristi Puiu,2005,,,Netflix
666,The Occupant,67,"Àlex Pastor, David Pastor",2020,,,Netflix
667,The Body Remembers When the World Broke Open,67,"Elle-Máijá Tailfeathers, Kathleen Hepburn",2019,,,Netflix
668,The Woman in the Window,67,Joe Wright,2021,,,Netflix
669,Berlin Syndrome,67,Cate Shortland,2017,,,Netflix
670,What the Health,67,"Kip Andersen, Keegan Kuhn",2017,,,Netflix
671,The Runaways,67,Floria Sigismondi,2010,,,Netflix
672,Kodachrome,67,Mark Raso,2018,,,Netflix
673,Croupier,67,Mike Hodges,1998,,,Netflix
674,The Smurfs,67,Raja Gosnell,2011,,,Netflix
675,Muppets Most Wanted,67,James Bobin,2014,,,Netflix
676,Muppets Most Wanted,67,James Bobin,2014,,,Disney Plus
677,Creep 2,67,Patrick Brice,2017,,,Netflix
678,Mandela: Long Walk to Freedom,66,Justin Chadwick,2013,,,Netflix
679,The Square,66,Jehane Noujaim,2013,,,Netflix
680,Jerry Seinfeld: I'm Telling You for the Last Time,66,Marty Callner,1998,,,Netflix
681,Dear Zindagi,66,Gauri Shinde,2016,,,Netflix
682,Vizontele,66,"Yılmaz Erdoğan, Ömer Faruk Sorak",2001,,,Netflix
683,Good on Paper,66,Kimmy Gatewood,2021,,,Netflix
684,Ophelia,66,Claire McCarthy,2018,,,Netflix
685,Black Sea,66,Kevin MacDonald,2015,,,Netflix
686,Girl,66,Lukas Dhont,2018,,,Netflix
687,Girl,66,,2020,,,Hulu
688,Irreplaceable You,66,Stephanie Laing,2018,,,Netflix
689,The Do-Over,66,Steven Brill,2016,,,Netflix
690,Handsome Devil,66,John Butler,2016,,,Netflix
691,Unfriended,66,Levan Gabriadze,2014,,,Netflix
692,Been So Long,66,Tinge Krishnan,2018,,,Netflix
693,Blood Red Sky,66,Peter Thorwarth,2021,,,Netflix
694,The Bleeding Edge,66,Kirby Dick,2018,,,Netflix
695,Tread,66,Paul Solet,2019,,,Netflix
696,Berserk: The Golden Age Arc II - The Battle for Doldrey,66,Toshiyuki Kubooka,2012,,,Netflix
697,Kevin Hart: Irresponsible,66,Leslie Small,2019,,,Netflix
698,In the Tall Grass,66,Vincenzo Natali,2019,,,Netflix
699,Wadjda,66,Haifaa Al-Mansour,2012,,,Netflix
700,Ferry,66,Cecilia Verheyden,2021,,,Netflix
701,The Heartbreak Kid,66,"Bobby Farrelly, Peter Farrelly",2007,,,Netflix
702,Fools Rush In,66,Andy Tennant,1997,,,Netflix
703,Fools Rush In,66,Andy Tennant,1997,,,Amazon Prime
704,Wild Child,66,Nick Moore,2008,,,Netflix
705,The Lovebirds,66,Michael Showalter,2020,,,Netflix
706,Machete Kills,66,Robert Rodriguez,2013,,,Netflix
707,Sergio,66,Greg Barker,2020,,,Netflix
708,The Last Letter From Your Lover,66,Augustine Frizzell,2021,,,Netflix
709,Then Came You,66,Peter Hutchings,2019,,,Netflix
710,Then Came You,66,,2020,,,Hulu
711,Jenny Slate: Stage Fright,66,Gillian Robespierre,2019,,,Netflix
712,Jodhaa Akbar,66,Ashutosh Gowariker,2008,,,Netflix
713,Red Joan,66,Trevor Nunn,2019,,,Netflix
714,Amateur,66,Ryan Koo,2018,,,Netflix
715,What a Girl Wants,66,Dennie Gordon,2003,,,Netflix
716,Quigley Down Under,66,Simon Wincer,1990,,,Netflix
717,Mindhorn,66,Sean Foley,2017,,,Netflix
718,Katt Williams: Great America,66,,2018,,,Netflix
719,Lingua Franca,66,Isabel Sandoval,2019,,,Netflix
720,Copenhagen,66,Mark Raso,2014,,,Netflix
721,Copenhagen,66,Howard Davies,2002,,,Amazon Prime
722,High Flying Bird,66,Steven Soderbergh,2019,,,Netflix
723,Free to Play,66,,2014,,,Netflix
724,Life of Crime,66,Daniel Schechter,2013,,,Netflix
725,A Very Murray Christmas,66,Sofia Coppola,2015,,,Netflix
726,The Silence,65,John R. Leonetti,2019,,,Netflix
727,Sarah's Key,65,Gilles Paquet-Brenner,2010,,,Netflix
728,Abducted in Plain Sight,65,Skye Borgman,2017,,,Netflix
729,Winchester,65,"Michael Spierig, Peter Spierig",2018,,,Netflix
730,Our Souls at Night,65,Ritesh Batra,2017,,,Netflix
731,The Karate Kid Part III,65,John G. Avildsen,1989,,,Netflix
732,Haseen Dillruba,65,Vinil Mathew,2021,,,Netflix
733,Christine,65,Antonio Campos,2016,,,Netflix
734,Christine,65,,2016,,,Hulu
735,Secret Superstar,65,Advait Chandan,2017,,,Netflix
736,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,65,"Mike Diva, Akiva Schaffer",2019,,,Netflix
737,WHAT DID JACK DO?,65,David Lynch,2020,,,Netflix
738,Blue Jay,65,Alex Lehmann,2016,,,Netflix
739,Deidra & Laney Rob a Train,65,Sydney Freeland,2017,,,Netflix
740,Hari Kondabolu: Warn Your Relatives,65,Bobcat Goldthwait,2018,,,Netflix
741,Close,65,,2019,,,Netflix
742,Congo,65,Frank Marshall,1995,,,Netflix
743,The Prom,65,Ryan Murphy,2020,,,Netflix
744,The Bling Ring,65,Sofia Coppola,2013,,,Netflix
745,Greater,65,David Hunt,2016,,,Netflix
746,Neal Brennan: 3 Mics,65,Neal Brennan,2017,,,Netflix
747,The Awakening of Motti Wolkenbruch,65,Michael Steiner,2018,,,Netflix
748,Beats,65,Chris Robinson,2019,,,Netflix
749,Lost Girls,65,Liz Garbus,2020,,,Netflix
750,Don,65,Farhan Akhtar,2006,,,Netflix
751,Don,65,Farhan Akhtar,2006,,,Amazon Prime
752,A Little Chaos,65,Alan Rickman,2014,,,Netflix
753,Dennis the Menace,65,Nick Castle,1993,,,Netflix
754,See You Yesterday,65,Stefon Bristol,2019,,,Netflix
755,Xtreme,65,Daniel Benmayor,2021,,,Netflix
756,Beyond the Clouds,65,Majid Majidi,2018,,,Netflix
757,Two Distant Strangers,65,"Travon Free, Martin Desmond Roe",2021,,,Netflix
758,Bert Kreischer: Secret Time,65,Todd Biermann,2018,,,Netflix
759,"Yes, God, Yes",65,Karen Maine,2020,,,Netflix
760,The Long Riders,65,Walter Hill,1980,,,Netflix
761,Shepherds and Butchers,65,Oliver Schmitz,2016,,,Netflix
762,Big Miracle,65,Ken Kwapis,2012,,,Netflix
763,Gunjan Saxena: The Kargil Girl,65,Sharan Sharma,2020,,,Netflix
764,The Invisible Guardian,65,Fernando González Molina,2017,,,Netflix
765,Cop Car,65,Jon Watts,2015,,,Netflix
766,Main Hoon Na,65,Farah Khan,2004,,,Netflix
767,Last Breath,65,"Alex Parkinson, Richard da Costa",2019,,,Netflix
768,The Stepfather,65,Nelson McCormick,2009,,,Netflix
769,The Stepfather,65,Nelson McCormick,2009,,,Amazon Prime
770,Joe Rogan: Strange Times,65,Anthony Giordano,2018,,,Netflix
771,The Sweetest Thing,65,Roger Kumble,2002,,,Netflix
772,Thunder Force,65,Ben Falcone,2021,,,Netflix
773,The Ivory Game,65,"Kief Davidson, Richard Ladkani",2016,,,Netflix
774,Otherhood,65,,2019,,,Netflix
775,Space Sweepers,65,Jo Sung-hee,2021,,,Netflix
776,The Prince & Me,65,Martha Coolidge,2004,,,Netflix
777,For the Love of Spock,65,Adam Nimoy,2016,,,Netflix
778,The Green Inferno,64,Eli Roth,2013,,,Netflix
779,A Babysitter's Guide to Monster Hunting,64,Rachel Talalay,2020,,,Netflix
780,Fantastic Fungi,64,Louie Schwartzberg,2019,,,Netflix
781,West Beirut,64,Ziad Doueiri,1999,,,Netflix
782,He Never Died,64,Jason Krawczyk,2015,,,Netflix
783,The Nut Job,64,Peter Lepeniotis,2014,,,Netflix
784,Unicorn Store,64,Brie Larson,2019,,,Netflix
785,Alex Strangelove,64,Craig Johnson,2018,,,Netflix
786,David Foster: Off the Record,64,Barry Avrich,2019,,,Netflix
787,Pihu,64,Vinod Kapri,2018,,,Netflix
788,American Me,64,Edward James Olmos,1992,,,Netflix
789,American Me,64,,1992,,,Amazon Prime
790,The Christmas Chronicles: Part Two,64,Chris Columbus,2020,,,Netflix
791,Sinister 2,64,Ciarán Foy,2015,,,Netflix
792,Don't Go Breaking My Heart,64,Johnnie To,2011,,,Netflix
793,Black '47,64,Lance Daly,2018,,,Netflix
794,Mute,64,Duncan Jones,2018,,,Netflix
795,"Crouching Tiger, Hidden Dragon: Sword of Destiny",64,Yuen Wo-Ping,2016,,,Netflix
796,The Ottoman Lieutenant,64,Joseph Ruben,2017,,,Netflix
797,Teefa in Trouble,64,Ahsan Rahim,2018,,,Netflix
798,The Last Days,64,James Moll,1998,,,Netflix
799,Fred Claus,64,David Dobkin,2007,,,Netflix
800,Cam,64,Daniel Goldhaber,2018,,,Netflix
801,The Boys in the Band,64,Joe Mantello,2020,,,Netflix
802,Kai Po Che!,64,Abhishek Kapoor,2013,,,Netflix
803,The Tree of Blood,64,Julio Medem,2018,,,Netflix
804,A Sun,64,Chung Mong-hong,2019,,,Netflix
805,The Mirror Has Two Faces,64,Barbra Streisand,1996,,,Netflix
806,The Skin of the Wolf,64,Samu Fuentes,2018,,,Netflix
807,Come Sunday,64,Joshua Marston,2018,,,Netflix
808,The Forty-Year-Old Version,64,Radha Blank,2020,,,Netflix
809,Eli,64,Ciarán Foy,2019,,,Netflix
810,Naruto the Movie: Ninja Clash in the Land of Snow,64,Tensai Okamura,2004,,,Netflix
811,Tony Robbins: I Am Not Your Guru,64,Joe Berlinger,2016,,,Netflix
812,Good Burger,64,Brian Robbins,1997,,,Netflix
813,Jimmy Neutron: Boy Genius,64,John A. Davis,2001,,,Netflix
814,American Son,64,Kenny Leon,2019,,,Netflix
815,The Call,64,Lee Chung-hyun,2020,,,Netflix
816,Nights in Rodanthe,64,George C. Wolfe,2008,,,Netflix
817,Dick Johnson Is Dead,64,Kirsten Johnson,2020,,,Netflix
818,Maps to the Stars,64,David Cronenberg,2014,,,Netflix
819,The Hows of Us,64,Cathy Garcia-Molina,2018,,,Netflix
820,Mimi,64,Laxman Utekar,2021,,,Netflix
821,100 Meters,64,Marcel Barrena,2016,,,Netflix
822,The Death and Life of Marsha P. Johnson,64,David France,2017,,,Netflix
823,No Game No Life: Zero,64,Atsuko Ishizuka,2017,,,Netflix
824,Taylor Tomlinson: Quarter-Life Crisis,64,Marcus Raboy,2020,,,Netflix
825,All Day and a Night,64,Joe Robert Cole,2020,,,Netflix
826,Ali Wong: Baby Cobra,64,Jay Karas,2016,,,Netflix
827,Parmanu: The Story of Pokhran,64,Abhishek Sharma,2018,,,Netflix
828,The Incredible Jessica James,64,Jim Strouse,2017,,,Netflix
829,The Happytime Murders,64,Brian Henson,2018,,,Netflix
830,The Strangers: Prey at Night,64,Johannes Roberts,2018,,,Netflix
831,Cradle 2 the Grave,64,Andrzej Bartkowiak,2003,,,Netflix
832,Jim Gaffigan: King Baby,64,Troy Miller,2009,,,Netflix
833,Rust Creek,64,Jen McGowan,2018,,,Netflix
834,The Smurfs 2,64,Raja Gosnell,2013,,,Netflix
