ID,title,score,director,release,genre,subgenre,platform
3559,Girls Just Want to Have Fun,61,Alan Metter,1985,,,Amazon Prime
3560,The Cave,61,,2019,,,Hulu
3561,Time Freak,61,,2018,,,Hulu
3562,Wild Mountain Thyme,61,,2020,,,Hulu
3563,Save Yourselves!,61,,2020,,,Hulu
3564,12 Hour Shift,60,,2020,,,Hulu
3565,The Hunchback of Notre Dame,60,,1923,,,Hulu
3566,The Hunchback of Notre Dame,60,"Gary Trousdale, Kirk Wise",1996,,,Disney Plus
3567,Elena Undone,60,,2010,,,Hulu
3568,Last Days Here,60,,2011,,,Hulu
3569,Back in Time,60,,2015,,,Hulu
3570,Flesh and Blood,60,Julian Farino,2002,,,Amazon Prime
3571,Clemency,60,,2019,,,Hulu
3572,The Haunting in Connecticut 2: Ghosts of Georgia,60,Tom Elkins,2013,,,Netflix
3573,Books of Blood,60,,2020,,,Hulu
3574,The Secret Garden,60,,2020,,,Hulu
3575,Waiting for the Barbarians,60,,2019,,,Hulu
3576,Caveman,60,Carl Gottlieb,1981,,,Amazon Prime
3577,Teen Spirit,60,,2018,,,Hulu
3578,Teen Spirit,60,Gil Junger,2011,,,Disney Plus
3579,Ordinary Love,60,,2019,,,Hulu
3580,Dog Days,60,,2018,,,Hulu
3581,A Boy Named Charlie Brown,60,,1969,,,Hulu
3582,Too Funny to Fail: The Life & Death of The Dana Carvey Show,60,,2017,,,Hulu
3583,Already Tomorrow in Hong Kong,60,,2015,,,Hulu
3584,Dark Was the Night,60,,2014,,,Hulu
3585,Dark Was the Night,60,Jack Heller,2015,,,Amazon Prime
3586,Primal,60,,2019,,,Hulu
3587,Grand Isle,59,,2019,,,Hulu
3588,The Donut King,59,,2020,,,Hulu
3589,The Furies,59,,1950,,,Hulu
3590,Little Woods,59,,2019,,,Hulu
3591,Hannie Caulder,59,,1971,,,Hulu
3592,Hannie Caulder,59,Burt Kennedy,1972,,,Amazon Prime
3593,Tesla,59,,2020,,,Hulu
3594,Running with the Devil,59,,2019,,,Hulu
3595,You Cannot Kill David Arquette,59,,2020,,,Hulu
3596,100% Wolf,59,,2020,,,Hulu
3597,Bad Company,59,,1972,,,Hulu
3598,Bad Company,59,Robert Benton,1972,,,Amazon Prime
3599,Pilgrimage,59,,2017,,,Hulu
3600,Reaching for the Moon,59,,2013,,,Hulu
3601,Reaching for the Moon,59,Edmond Goulding,1930,,,Amazon Prime
3602,Night of the Kings,59,,2020,,,Hulu
3603,Overdrive,59,,2017,,,Hulu
3604,Stray,59,,2020,,,Hulu
