show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform
s1397,Movie,Unidentified Flying Oddball,Russ Mayberry,"Dennis Dugan, Jim Dale, Ron Moody, Kenneth More, John Le Mesurier, Rodney Bewes",United States,2019-11-12,1979,G,93 min,"Action-Adventure, Comedy, Family",An astronaut and his robot accidentally travel in time to medieval England.,Disney Plus
s1398,Movie,Up,Pete Docter,"Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo, Jerome Ranft",United States,2019-11-12,2009,PG,96 min,"Action-Adventure, Animation, Buddy",An unlikely pair set to the sky for the adventure of their lives.,Disney Plus
s1399,Movie,"Up, Up and Away",Robert Townsend,"Robert Townsend, Michael Pagan, Alex Datcher, Sherman Hemsley, Kevin Connolly, Olivia Burnette","Canada, United States",2019-11-12,2000,TV-G,78 min,"Comedy, Coming of Age, Fantasy",The teenage son in a superhero family anxiously awaits his super powers.,Disney Plus
s1400,Movie,Valiant,Gary Chapman,"Ewan McGregor, Ricky Gervais, Tim Curry, Jim Broadbent, Hugh Laurie, John Cleese","United Kingdom, United States",2019-11-12,2005,G,76 min,"Action-Adventure, Animation, Comedy","When the world needs a hero, a little pigeon steps up.",Disney Plus
s1401,Movie,Waking Sleeping Beauty,Don Hahn,"Don Hahn, Ron Clements, Roy Disney, Glen Keane, Jeffrey Katzenberg, Roger Allers",United States,2019-11-12,2010,PG,87 min,Documentary,A revealing look at the events that ushered in the second chapter of Disney's animation legacy.,Disney Plus
s1402,Movie,WALL-E,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, Macintalk , John Ratzenberger",United States,2019-11-12,2008,G,99 min,"Action-Adventure, Animation, Family",Join robots WALL-E and EVE on a fantastic journey across the universe.,Disney Plus
s1403,Movie,Wendy Wu: Homecoming Warrior,John Laing,"Brenda Song, Shin Koyamada, Susan Chuang, Justin Chon, Michael Cheng, Andy Fischer-Price",United States,2019-11-12,2006,TV-PG,91 min,"Action-Adventure, Coming of Age, Fantasy",Wendy's world is flipped upside down when a mysterious young monk arrives.,Disney Plus
s1404,Movie,Whispers: An Elephant's Tale,Dereck Joubert,"Angela Bassett, Joanna Lumley, Anne Archer, Debi Derryberry, Kevin Richardson, Alice Ghostley",United States,2019-11-12,2000,G,73 min,"Action-Adventure, Animals & Nature, Family",An adorable baby elephant bravely embarks on a journey through the harsh wilds to find his mother.,Disney Plus
s1405,Movie,White Fang,Randal Kleiser,"Klaus Brandauer, Ethan Hawke, Seymour Cassel, James Remar, Susan Hogan, Suzanne Kent",United States,2019-11-12,1991,PG,109 min,"Action-Adventure, Animals & Nature, Drama",A tale of a young man's journey through the treacherous Yukon Valley with the wolf-dog he rescues.,Disney Plus
s1406,Movie,Who Framed Roger Rabbit,Robert Zemeckis,"Bob Hoskins, Christopher Lloyd, Stubby Kaye, Joanna Cassidy, Alan Tilvern, Richard LeParmentier",United States,2019-11-12,1988,PG,104 min,"Action-Adventure, Animation, Comedy",A juicy mystery filled with loony fun pairs a Toon-hating detective with a cartoon rabbit.,Disney Plus
s1407,TV Show,Wild Yellowstone,,Bart Thomasson,Germany,2019-11-12,2015,TV-PG,1 Season,"Animals & Nature, Docuseries, Travel",Wild Yellowstone captures the beauty and essence of the land and animals.,Disney Plus
s1408,Movie,Winged Seduction: Birds of Paradise,Molly Hermann,Josh Goodman,United States,2019-11-12,2012,TV-PG,45 min,"Action-Adventure, Animals & Nature, Documentary","Shape shifting, dancing, dazzling transformers – birds of paradise are astonishing.",Disney Plus
s1409,Movie,Winnie the Pooh,"Stephen Anderson, Don Hall","John Cleese, Jim Cummings, Bud Luckey, Craig Ferguson, Jack Boulter, Travis Oates",United States,2019-11-12,2011,G,68 min,"Animation, Comedy, Family",Reunite with the beloved bear and his silly but steadfast friends.,Disney Plus
